variant,round,metric,value
task1,1.0,coins,23.0
task1,2.0,coins,21.5
task1,3.0,coins,26.3333
task1,4.0,coins,25.25
task1,5.0,coins,23.6
task1,6.0,coins,23.3333
task1,7.0,coins,22.7143
task1,8.0,coins,24.375
task1,9.0,coins,24.7778
task1,10.0,coins,24.9
task1,11.0,coins,24.5455
task1,12.0,coins,25.75
task1,13.0,coins,25.3846
task1,14.0,coins,25.2143
task1,15.0,coins,25.3333
task1,16.0,coins,25.0625
task1,17.0,coins,25.0
task1,18.0,coins,25.2222
task1,19.0,coins,25.4737
task1,20.0,coins,26.1
task1,21.0,coins,26.2381
task1,22.0,coins,25.3182
task1,23.0,coins,24.4348
task1,24.0,coins,23.6667
task1,25.0,coins,22.84
task1,26.0,coins,22.1923
task1,27.0,coins,21.6667
task1,28.0,coins,21.2857
task1,29.0,coins,20.6552
task1,30.0,coins,20.2333
task1,31.0,coins,19.8065
task1,32.0,coins,19.7812
task1,33.0,coins,20.2121
task1,34.0,coins,19.7353
task1,35.0,coins,19.2
task1,36.0,coins,18.75
task1,37.0,coins,18.8378
task1,38.0,coins,18.4474
task1,39.0,coins,18.2821
task1,40.0,coins,18.5
task1,41.0,coins,18.4878
task1,42.0,coins,18.4762
task1,43.0,coins,18.6744
task1,44.0,coins,18.25
task1,45.0,coins,17.8444
task1,46.0,coins,17.4565
task1,47.0,coins,17.1915
task1,48.0,coins,17.625
task1,49.0,coins,17.8571
task1,50.0,coins,17.86
task1,51.0,coins,17.7451
task1,52.0,coins,17.7692
task1,53.0,coins,17.6415
task1,54.0,coins,17.537
task1,55.0,coins,17.6364
task1,56.0,coins,17.5357
task1,57.0,coins,17.7368
task1,58.0,coins,17.4655
task1,59.0,coins,17.5085
task1,60.0,coins,17.2667
task1,61.0,coins,17.0
task1,62.0,coins,17.0
task1,63.0,coins,17.0159
task1,64.0,coins,16.9375
task1,65.0,coins,16.9385
task1,66.0,coins,16.7121
task1,67.0,coins,16.4925
task1,68.0,coins,16.5294
task1,69.0,coins,16.3333
task1,70.0,coins,16.2571
task1,71.0,coins,16.0986
task1,72.0,coins,16.25
task1,73.0,coins,16.0685
