variant,round,metric,value
task1,74.0,coins,15.8784
task1,75.0,coins,15.8667
task1,76.0,coins,16.2105
task1,77.0,coins,16.1039
task1,78.0,coins,16.1538
task1,79.0,coins,16.2025
task1,80.0,coins,16.2125
task1,81.0,coins,16.5062
task1,82.0,coins,16.8049
task1,83.0,coins,17.0843
task1,84.0,coins,17.3452
task1,85.0,coins,17.2118
task1,86.0,coins,17.5
task1,87.0,coins,17.5862
task1,88.0,coins,17.5227
task1,89.0,coins,17.6854
task1,90.0,coins,17.8
task1,91.0,coins,17.978
task1,92.0,coins,18.2935
task1,93.0,coins,18.5591
task1,94.0,coins,18.3936
task1,95.0,coins,18.4947
task1,96.0,coins,18.6875
task1,97.0,coins,18.9278
task1,98.0,coins,19.102
task1,99.0,coins,18.9697
task1,100.0,coins,18.78
task1,101.0,coins,18.6
task1,102.0,coins,18.54
task1,103.0,coins,18.56
task1,104.0,coins,18.44
task1,105.0,coins,18.4
task1,106.0,coins,18.53
task1,107.0,coins,18.61
task1,108.0,coins,18.68
task1,109.0,coins,18.45
task1,110.0,coins,18.53
task1,111.0,coins,18.57
task1,112.0,coins,18.19
task1,113.0,coins,18.05
task1,114.0,coins,18.05
task1,115.0,coins,18.07
task1,116.0,coins,18.22
task1,117.0,coins,18.3
task1,118.0,coins,18.39
task1,119.0,coins,18.17
task1,120.0,coins,17.81
task1,121.0,coins,17.55
task1,122.0,coins,17.97
task1,123.0,coins,17.97
task1,124.0,coins,18.03
task1,125.0,coins,18.3
task1,126.0,coins,18.71
task1,127.0,coins,18.72
task1,128.0,coins,18.75
task1,129.0,coins,18.91
task1,130.0,coins,19.33
task1,131.0,coins,19.55
task1,132.0,coins,19.78
task1,133.0,coins,19.49
task1,134.0,coins,19.73
task1,135.0,coins,19.85
task1,136.0,coins,19.88
task1,137.0,coins,19.77
task1,138.0,coins,19.82
task1,139.0,coins,19.75
task1,140.0,coins,19.93
task1,141.0,coins,19.77
task1,142.0,coins,20.07
task1,143.0,coins,20.2
task1,144.0,coins,20.52
task1,145.0,coins,20.99
task1,146.0,coins,21.3
task1,147.0,coins,21.52
task1,148.0,coins,21.62
task1,149.0,coins,21.64
task1,150.0,coins,21.52
task1,151.0,coins,21.63
task1,152.0,coins,21.91
task1,153.0,coins,22.09
task1,154.0,coins,21.99
task1,155.0,coins,22.19
task1,156.0,coins,22.29
task1,157.0,coins,22.49
task1,158.0,coins,22.48
task1,159.0,coins,22.33
task1,160.0,coins,22.78
task1,161.0,coins,22.89
task1,162.0,coins,23.2
task1,163.0,coins,23.35
task1,164.0,coins,23.26
task1,165.0,coins,23.36
task1,166.0,coins,23.6
task1,167.0,coins,24.02
task1,168.0,coins,24.19
task1,169.0,coins,24.59
task1,170.0,coins,24.65
task1,171.0,coins,24.62
task1,172.0,coins,24.85
task1,173.0,coins,25.18
task1,174.0,coins,25.6
task1,175.0,coins,25.52
task1,176.0,coins,25.38
task1,177.0,coins,25.8
task1,178.0,coins,25.88
task1,179.0,coins,25.94
task1,180.0,coins,25.96
task1,181.0,coins,25.76
task1,182.0,coins,25.85
task1,183.0,coins,25.7
task1,184.0,coins,25.34
task1,185.0,coins,25.74
task1,186.0,coins,25.68
task1,187.0,coins,25.92
task1,188.0,coins,26.01
task1,189.0,coins,26.01
task1,190.0,coins,25.84
task1,191.0,coins,25.6
task1,192.0,coins,25.42
task1,193.0,coins,25.07
task1,194.0,coins,25.32
task1,195.0,coins,25.16
task1,196.0,coins,25.29
task1,197.0,coins,25.22
task1,198.0,coins,25.36
task1,199.0,coins,25.79
task1,200.0,coins,26.29
task1,201.0,coins,26.5
task1,202.0,coins,26.82
task1,203.0,coins,26.75
task1,204.0,coins,26.87
task1,205.0,coins,27.02
task1,206.0,coins,27.17
task1,207.0,coins,27.22
task1,208.0,coins,26.8
task1,209.0,coins,27.25
task1,210.0,coins,27.26
task1,211.0,coins,27.12
task1,212.0,coins,27.61
task1,213.0,coins,27.59
task1,214.0,coins,27.86
task1,215.0,coins,27.78
task1,216.0,coins,27.75
task1,217.0,coins,27.92
task1,218.0,coins,27.84
task1,219.0,coins,28.26
task1,220.0,coins,28.74
task1,221.0,coins,29.03
task1,222.0,coins,29.05
task1,223.0,coins,29.49
task1,224.0,coins,29.7
task1,225.0,coins,29.88
task1,226.0,coins,29.91
task1,227.0,coins,30.32
task1,228.0,coins,30.48
task1,229.0,coins,30.34
task1,230.0,coins,30.07
task1,231.0,coins,30.14
task1,232.0,coins,30.22
task1,233.0,coins,30.5
task1,234.0,coins,30.39
task1,235.0,coins,30.76
task1,236.0,coins,31.2
task1,237.0,coins,31.15
task1,238.0,coins,31.56
task1,239.0,coins,31.66
task1,240.0,coins,31.4
task1,241.0,coins,31.88
task1,242.0,coins,31.77
task1,243.0,coins,31.85
task1,244.0,coins,31.54
task1,245.0,coins,31.09
task1,246.0,coins,30.8
task1,247.0,coins,30.54
task1,248.0,coins,30.07
task1,249.0,coins,29.8
task1,250.0,coins,30.15
task1,251.0,coins,30.13
task1,252.0,coins,30.16
task1,253.0,coins,30.02
task1,254.0,coins,30.36
task1,255.0,coins,29.93
task1,256.0,coins,30.1
task1,257.0,coins,29.81
task1,258.0,coins,29.85
task1,259.0,coins,30.27
task1,260.0,coins,30.0
task1,261.0,coins,30.38
task1,262.0,coins,30.4
task1,263.0,coins,30.12
task1,264.0,coins,30.59
task1,265.0,coins,30.82
task1,266.0,coins,31.06
task1,267.0,coins,31.0
task1,268.0,coins,30.86
task1,269.0,coins,30.6
task1,270.0,coins,30.93
task1,271.0,coins,31.41
task1,272.0,coins,31.28
task1,273.0,coins,31.17
task1,274.0,coins,30.74
task1,275.0,coins,31.17
task1,276.0,coins,31.16
task1,277.0,coins,31.08
task1,278.0,coins,31.3
task1,279.0,coins,31.54
task1,280.0,coins,31.85
task1,281.0,coins,32.02
task1,282.0,coins,31.93
task1,283.0,coins,32.18
task1,284.0,coins,32.54
task1,285.0,coins,32.58
task1,286.0,coins,32.68
task1,287.0,coins,32.67
task1,288.0,coins,32.96
task1,289.0,coins,33.14
task1,290.0,coins,33.53
task1,291.0,coins,33.87
task1,292.0,coins,34.08
task1,293.0,coins,34.28
task1,294.0,coins,34.25
task1,295.0,coins,34.63
task1,296.0,coins,34.62
task1,297.0,coins,34.77
task1,298.0,coins,34.77
task1,299.0,coins,34.78
task1,300.0,coins,34.78
task1,301.0,coins,35.02
task1,302.0,coins,35.06
task1,303.0,coins,34.84
task1,304.0,coins,34.67
task1,305.0,coins,34.83
task1,306.0,coins,34.82
task1,307.0,coins,35.0
task1,308.0,coins,35.19
task1,309.0,coins,34.9
task1,310.0,coins,34.94
task1,311.0,coins,35.33
task1,312.0,coins,35.33
task1,313.0,coins,35.48
task1,314.0,coins,35.48
task1,315.0,coins,35.61
task1,316.0,coins,35.78
task1,317.0,coins,35.32
task1,318.0,coins,35.18
task1,319.0,coins,35.18
task1,320.0,coins,35.18
task1,321.0,coins,35.36
task1,322.0,coins,35.09
task1,323.0,coins,35.1
task1,324.0,coins,35.27
task1,325.0,coins,35.29
task1,326.0,coins,35.29
task1,327.0,coins,35.29
task1,328.0,coins,35.49
task1,329.0,coins,35.94
task1,330.0,coins,36.21
task1,331.0,coins,36.35
task1,332.0,coins,36.35
task1,333.0,coins,36.52
task1,334.0,coins,36.85
task1,335.0,coins,36.85
task1,336.0,coins,36.68
task1,337.0,coins,37.12
task1,338.0,coins,36.83
task1,339.0,coins,37.18
task1,340.0,coins,37.49
task1,341.0,coins,37.49
task1,342.0,coins,37.62
task1,343.0,coins,37.64
task1,344.0,coins,37.68
task1,345.0,coins,38.16
task1,346.0,coins,38.64
task1,347.0,coins,39.13
task1,348.0,coins,39.62
task1,349.0,coins,40.08
task1,350.0,coins,40.17
task1,351.0,coins,40.46
task1,352.0,coins,40.46
task1,353.0,coins,40.68
task1,354.0,coins,40.82
task1,355.0,coins,41.32
task1,356.0,coins,41.43
task1,357.0,coins,41.73
task1,358.0,coins,42.18
task1,359.0,coins,42.21
task1,360.0,coins,42.5
task1,361.0,coins,42.5
task1,362.0,coins,42.42
task1,363.0,coins,42.87
task1,364.0,coins,42.87
task1,365.0,coins,42.58
task1,366.0,coins,42.58
task1,367.0,coins,42.7
task1,368.0,coins,42.98
task1,369.0,coins,43.31
task1,370.0,coins,43.31
task1,371.0,coins,43.31
task1,372.0,coins,43.44
task1,373.0,coins,43.69
task1,374.0,coins,44.18
task1,375.0,coins,43.73
task1,376.0,coins,43.93
task1,377.0,coins,44.01
task1,378.0,coins,44.01
task1,379.0,coins,44.01
task1,380.0,coins,43.81
task1,381.0,coins,43.94
task1,382.0,coins,44.03
task1,383.0,coins,44.03
task1,384.0,coins,44.11
task1,385.0,coins,44.01
task1,386.0,coins,44.05
task1,387.0,coins,44.07
task1,388.0,coins,44.07
task1,389.0,coins,44.07
task1,390.0,coins,44.07
task1,391.0,coins,43.79
task1,392.0,coins,43.79
task1,393.0,coins,44.01
task1,394.0,coins,44.26
task1,395.0,coins,44.26
task1,396.0,coins,43.92
task1,397.0,coins,43.92
task1,398.0,coins,43.92
task1,399.0,coins,43.92
task1,400.0,coins,43.92
task1,401.0,coins,43.92
task1,402.0,coins,43.92
task1,403.0,coins,44.33
task1,404.0,coins,44.57
task1,405.0,coins,44.63
task1,406.0,coins,44.64
task1,407.0,coins,44.64
task1,408.0,coins,44.94
task1,409.0,coins,45.23
task1,410.0,coins,45.34
task1,411.0,coins,45.34
task1,412.0,coins,45.34
task1,413.0,coins,45.64
task1,414.0,coins,45.64
task1,415.0,coins,45.8
task1,416.0,coins,45.8
task1,417.0,coins,46.27
task1,418.0,coins,46.61
task1,419.0,coins,46.25
task1,420.0,coins,46.25
task1,421.0,coins,45.93
task1,422.0,coins,45.92
task1,423.0,coins,45.92
task1,424.0,coins,45.92
task1,425.0,coins,45.92
task1,426.0,coins,45.83
task1,427.0,coins,45.67
task1,428.0,coins,45.67
task1,429.0,coins,45.67
task1,430.0,coins,45.67
task1,431.0,coins,45.17
task1,432.0,coins,45.17
task1,433.0,coins,45.17
task1,434.0,coins,45.17
task1,435.0,coins,45.17
task1,436.0,coins,45.34
task1,437.0,coins,45.34
task1,438.0,coins,45.52
task1,439.0,coins,45.52
task1,440.0,coins,45.52
task1,441.0,coins,45.52
task1,442.0,coins,45.52
task1,443.0,coins,45.52
task1,444.0,coins,45.97
task1,445.0,coins,45.97
task1,446.0,coins,45.97
task1,447.0,coins,45.97
task1,448.0,coins,45.97
task1,449.0,coins,45.97
task1,450.0,coins,45.97
task1,451.0,coins,45.97
task1,452.0,coins,45.97
task1,453.0,coins,45.89
task1,454.0,coins,45.89
task1,455.0,coins,45.89
task1,456.0,coins,45.89
task1,457.0,coins,45.89
task1,458.0,coins,45.89
task1,459.0,coins,45.74
task1,460.0,coins,45.7
task1,461.0,coins,45.7
task1,462.0,coins,45.78
task1,463.0,coins,45.71
task1,464.0,coins,45.71
task1,465.0,coins,46.0
task1,466.0,coins,46.0
task1,467.0,coins,46.0
task1,468.0,coins,46.0
task1,469.0,coins,46.0
task1,470.0,coins,46.0
task1,471.0,coins,46.0
task1,472.0,coins,46.0
task1,473.0,coins,46.0
task1,474.0,coins,46.0
task1,475.0,coins,46.45
task1,476.0,coins,46.48
task1,477.0,coins,46.48
task1,478.0,coins,46.48
task1,479.0,coins,46.48
task1,480.0,coins,46.68
task1,481.0,coins,46.68
task1,482.0,coins,46.68
task1,483.0,coins,46.68
task1,484.0,coins,46.71
task1,485.0,coins,46.81
task1,486.0,coins,46.81
task1,487.0,coins,46.81
task1,488.0,coins,46.81
task1,489.0,coins,46.81
task1,490.0,coins,46.81
task1,491.0,coins,47.15
task1,492.0,coins,47.12
task1,493.0,coins,47.12
task1,494.0,coins,47.12
task1,495.0,coins,47.12
task1,496.0,coins,47.47
task1,497.0,coins,47.24
task1,498.0,coins,47.24
task1,499.0,coins,47.24
task1,500.0,coins,47.24
task1,501.0,coins,47.24
task1,502.0,coins,47.24
task1,503.0,coins,47.24
task1,504.0,coins,47.45
task1,505.0,coins,47.45
task1,506.0,coins,47.45
task1,507.0,coins,47.45
task1,508.0,coins,47.45
task1,509.0,coins,47.45
task1,510.0,coins,47.45
task1,511.0,coins,47.45
task1,512.0,coins,47.45
task1,513.0,coins,47.45
task1,514.0,coins,47.45
task1,515.0,coins,47.45
task1,516.0,coins,47.45
task1,517.0,coins,47.11
task1,518.0,coins,47.11
task1,519.0,coins,47.47
task1,520.0,coins,47.47
task1,521.0,coins,47.79
task1,522.0,coins,48.07
task1,523.0,coins,48.07
task1,524.0,coins,48.07
task1,525.0,coins,48.07
task1,526.0,coins,48.16
task1,527.0,coins,48.32
task1,528.0,coins,48.32
task1,529.0,coins,48.32
task1,530.0,coins,48.32
task1,531.0,coins,48.82
task1,532.0,coins,48.82
task1,533.0,coins,48.82
task1,534.0,coins,48.82
task1,535.0,coins,48.82
task1,536.0,coins,48.82
task1,537.0,coins,48.82
task1,538.0,coins,48.93
task1,539.0,coins,48.93
task1,540.0,coins,48.93
task1,541.0,coins,48.93
task1,542.0,coins,48.93
task1,543.0,coins,48.93
task1,544.0,coins,48.93
task1,545.0,coins,48.91
task1,546.0,coins,48.91
task1,547.0,coins,48.91
task1,548.0,coins,48.91
task1,549.0,coins,48.91
task1,550.0,coins,48.91
task1,551.0,coins,48.91
task1,552.0,coins,48.91
task1,553.0,coins,49.12
task1,554.0,coins,49.12
task1,555.0,coins,49.12
task1,556.0,coins,49.12
task1,557.0,coins,49.12
task1,558.0,coins,49.12
task1,559.0,coins,49.27
task1,560.0,coins,49.31
task1,561.0,coins,49.31
task1,562.0,coins,49.31
task1,563.0,coins,49.38
task1,564.0,coins,49.38
task1,565.0,coins,49.38
task1,566.0,coins,49.38
task1,567.0,coins,49.38
task1,568.0,coins,49.38
task1,569.0,coins,49.38
task1,570.0,coins,49.38
task1,571.0,coins,49.38
task1,572.0,coins,49.38
task1,573.0,coins,49.38
task1,574.0,coins,49.38
task1,575.0,coins,49.38
task1,576.0,coins,49.38
task1,577.0,coins,49.38
task1,578.0,coins,49.38
task1,579.0,coins,49.38
task1,580.0,coins,49.38
task1,581.0,coins,49.38
task1,582.0,coins,49.38
task1,583.0,coins,49.38
task1,584.0,coins,49.38
task1,585.0,coins,49.38
task1,586.0,coins,49.38
task1,587.0,coins,49.38
task1,588.0,coins,49.38
task1,589.0,coins,49.38
task1,590.0,coins,49.38
task1,591.0,coins,49.0
task1,592.0,coins,49.03
task1,593.0,coins,49.03
task1,594.0,coins,49.03
task1,595.0,coins,49.03
task1,596.0,coins,49.03
task1,597.0,coins,49.26
task1,598.0,coins,49.26
task1,599.0,coins,49.26
task1,600.0,coins,49.26
task1,601.0,coins,49.26
task1,602.0,coins,49.26
task1,603.0,coins,48.81
task1,604.0,coins,48.81
task1,605.0,coins,48.81
task1,606.0,coins,48.81
task1,607.0,coins,48.81
task1,608.0,coins,48.81
task1,609.0,coins,48.81
task1,610.0,coins,48.81
task1,611.0,coins,48.81
task1,612.0,coins,48.81
task1,613.0,coins,48.81
task1,614.0,coins,48.81
task1,615.0,coins,48.81
task1,616.0,coins,48.81
task1,617.0,coins,49.15
task1,618.0,coins,49.15
task1,619.0,coins,49.15
task1,620.0,coins,49.15
task1,621.0,coins,49.15
task1,622.0,coins,49.15
task1,623.0,coins,49.15
task1,624.0,coins,49.15
task1,625.0,coins,49.15
task1,626.0,coins,49.15
task1,627.0,coins,49.15
task1,628.0,coins,49.15
task1,629.0,coins,49.15
task1,630.0,coins,49.15
task1,631.0,coins,49.15
task1,632.0,coins,49.15
task1,633.0,coins,49.15
task1,634.0,coins,49.15
task1,635.0,coins,49.15
task1,636.0,coins,49.15
task1,637.0,coins,49.15
task1,638.0,coins,49.15
task1,639.0,coins,48.76
task1,640.0,coins,48.76
task1,641.0,coins,48.76
task1,642.0,coins,48.76
task1,643.0,coins,48.76
task1,644.0,coins,48.76
task1,645.0,coins,48.78
task1,646.0,coins,48.78
task1,647.0,coins,48.78
task1,648.0,coins,48.78
task1,649.0,coins,48.78
task1,650.0,coins,48.78
task1,651.0,coins,48.78
task1,652.0,coins,48.78
task1,653.0,coins,48.78
task1,654.0,coins,48.78
task1,655.0,coins,48.78
task1,656.0,coins,48.78
task1,657.0,coins,48.78
task1,658.0,coins,48.78
task1,659.0,coins,48.78
task1,660.0,coins,48.78
task1,661.0,coins,48.78
task1,662.0,coins,48.78
task1,663.0,coins,48.78
task1,664.0,coins,48.78
task1,665.0,coins,48.78
task1,666.0,coins,48.78
task1,667.0,coins,48.78
task1,668.0,coins,48.78
task1,669.0,coins,48.78
task1,670.0,coins,48.78
task1,671.0,coins,48.78
task1,672.0,coins,48.78
task1,673.0,coins,48.78
task1,674.0,coins,48.78
task1,675.0,coins,48.78
task1,676.0,coins,48.78
task1,677.0,coins,48.78
task1,678.0,coins,48.78
task1,679.0,coins,48.78
task1,680.0,coins,48.78
task1,681.0,coins,48.78
task1,682.0,coins,48.78
task1,683.0,coins,48.78
task1,684.0,coins,48.78
task1,685.0,coins,48.78
task1,686.0,coins,48.78
task1,687.0,coins,48.78
task1,688.0,coins,48.78
task1,689.0,coins,48.78
task1,690.0,coins,48.78
task1,691.0,coins,49.16
task1,692.0,coins,49.16
task1,693.0,coins,49.16
task1,694.0,coins,49.16
task1,695.0,coins,49.16
task1,696.0,coins,49.16
task1,697.0,coins,49.16
task1,698.0,coins,49.16
task1,699.0,coins,49.16
task1,700.0,coins,49.16
task1,701.0,coins,49.16
task1,702.0,coins,49.16
task1,703.0,coins,49.61
task1,704.0,coins,49.61
task1,705.0,coins,49.61
task1,706.0,coins,49.61
task1,707.0,coins,49.61
task1,708.0,coins,49.61
task1,709.0,coins,49.61
task1,710.0,coins,49.61
task1,711.0,coins,49.61
task1,712.0,coins,49.61
task1,713.0,coins,49.61
task1,714.0,coins,49.61
task1,715.0,coins,49.61
task1,716.0,coins,49.61
task1,717.0,coins,49.61
task1,718.0,coins,49.61
task1,719.0,coins,49.61
task1,720.0,coins,49.61
task1,721.0,coins,49.61
task1,722.0,coins,49.61
task1,723.0,coins,49.61
task1,724.0,coins,49.61
task1,725.0,coins,49.61
task1,726.0,coins,49.61
task1,727.0,coins,49.61
task1,728.0,coins,49.61
task1,729.0,coins,49.61
task1,730.0,coins,49.61
task1,731.0,coins,49.59
task1,732.0,coins,49.59
task1,733.0,coins,49.59
task1,734.0,coins,49.59
task1,735.0,coins,49.59
task1,736.0,coins,49.59
task1,737.0,coins,49.59
task1,738.0,coins,49.59
task1,739.0,coins,49.98
task1,740.0,coins,49.98
task1,741.0,coins,49.98
task1,742.0,coins,49.98
task1,743.0,coins,49.98
task1,744.0,coins,49.98
task1,745.0,coins,49.98
task1,746.0,coins,49.98
task1,747.0,coins,49.98
task1,748.0,coins,49.98
task1,749.0,coins,49.98
task1,750.0,coins,49.98
task1,751.0,coins,49.98
task1,752.0,coins,49.98
task1,753.0,coins,49.98
task1,754.0,coins,49.98
task1,755.0,coins,49.98
task1,756.0,coins,49.98
task1,757.0,coins,49.98
task1,758.0,coins,49.98
task1,759.0,coins,49.98
task1,760.0,coins,49.98
task1,761.0,coins,49.98
task1,762.0,coins,49.98
task1,763.0,coins,49.98
task1,764.0,coins,49.98
task1,765.0,coins,49.98
task1,766.0,coins,49.98
task1,767.0,coins,49.98
task1,768.0,coins,49.98
task1,769.0,coins,49.98
task1,770.0,coins,49.98
task1,771.0,coins,49.98
task1,772.0,coins,49.98
task1,773.0,coins,49.98
task1,774.0,coins,49.98
task1,775.0,coins,49.98
task1,776.0,coins,49.98
task1,777.0,coins,49.98
task1,778.0,coins,49.98
task1,779.0,coins,49.98
task1,780.0,coins,49.98
task1,781.0,coins,49.98
task1,782.0,coins,49.98
task1,783.0,coins,49.98
task1,784.0,coins,49.98
task1,785.0,coins,49.98
task1,786.0,coins,49.98
task1,787.0,coins,49.98
task1,788.0,coins,49.98
task1,789.0,coins,49.98
task1,790.0,coins,49.98
task1,791.0,coins,49.98
task1,792.0,coins,49.98
task1,793.0,coins,49.98
task1,794.0,coins,49.98
task1,795.0,coins,49.98
task1,796.0,coins,49.98
task1,797.0,coins,49.98
task1,798.0,coins,49.98
task1,799.0,coins,49.98
task1,800.0,coins,49.98
task1,801.0,coins,49.98
task1,802.0,coins,49.98
task1,803.0,coins,49.98
task1,804.0,coins,49.98
task1,805.0,coins,49.98
task1,806.0,coins,49.98
task1,807.0,coins,49.98
task1,808.0,coins,49.98
task1,809.0,coins,49.69
task1,810.0,coins,49.69
task1,811.0,coins,49.69
task1,812.0,coins,49.69
task1,813.0,coins,49.69
task1,814.0,coins,49.69
task1,815.0,coins,49.69
task1,816.0,coins,49.69
task1,817.0,coins,49.69
task1,818.0,coins,49.69
task1,819.0,coins,49.69
task1,820.0,coins,49.69
task1,821.0,coins,49.69
task1,822.0,coins,49.69
task1,823.0,coins,49.69
task1,824.0,coins,49.69
task1,825.0,coins,49.69
task1,826.0,coins,49.69
task1,827.0,coins,49.69
task1,828.0,coins,49.69
task1,829.0,coins,49.69
task1,830.0,coins,49.69
task1,831.0,coins,49.71
task1,832.0,coins,49.71
task1,833.0,coins,49.71
task1,834.0,coins,49.71
task1,835.0,coins,49.71
task1,836.0,coins,49.71
task1,837.0,coins,49.71
task1,838.0,coins,49.71
task1,839.0,coins,49.71
task1,840.0,coins,49.71
task1,841.0,coins,49.71
task1,842.0,coins,49.71
task1,843.0,coins,49.71
task1,844.0,coins,49.71
task1,845.0,coins,49.71
task1,846.0,coins,49.71
task1,847.0,coins,49.71
task1,848.0,coins,49.71
task1,849.0,coins,49.71
task1,850.0,coins,49.71
task1,851.0,coins,49.71
task1,852.0,coins,49.71
task1,853.0,coins,49.71
task1,854.0,coins,49.71
task1,855.0,coins,49.71
task1,856.0,coins,49.71
task1,857.0,coins,49.71
task1,858.0,coins,49.71
task1,859.0,coins,49.71
task1,860.0,coins,49.71
task1,861.0,coins,49.71
task1,862.0,coins,49.71
task1,863.0,coins,49.71
task1,864.0,coins,49.71
task1,865.0,coins,49.71
task1,866.0,coins,49.71
task1,867.0,coins,49.71
task1,868.0,coins,49.71
task1,869.0,coins,49.71
task1,870.0,coins,49.71
task1,871.0,coins,49.71
task1,872.0,coins,49.71
task1,873.0,coins,49.71
task1,874.0,coins,49.71
task1,875.0,coins,49.71
task1,876.0,coins,49.71
task1,877.0,coins,49.71
task1,878.0,coins,49.71
task1,879.0,coins,49.71
task1,880.0,coins,49.71
task1,881.0,coins,49.71
task1,882.0,coins,49.71
task1,883.0,coins,49.71
task1,884.0,coins,49.71
task1,885.0,coins,49.71
task1,886.0,coins,49.71
task1,887.0,coins,49.71
task1,888.0,coins,49.71
task1,889.0,coins,49.71
task1,890.0,coins,49.71
task1,891.0,coins,49.71
task1,892.0,coins,49.71
task1,893.0,coins,49.71
task1,894.0,coins,49.71
task1,895.0,coins,49.71
task1,896.0,coins,49.71
task1,897.0,coins,49.71
task1,898.0,coins,49.71
task1,899.0,coins,49.71
task1,900.0,coins,49.71
task1,901.0,coins,49.71
task1,902.0,coins,49.71
task1,903.0,coins,49.71
task1,904.0,coins,49.71
task1,905.0,coins,49.71
task1,906.0,coins,49.71
task1,907.0,coins,49.71
task1,908.0,coins,49.71
task1,909.0,coins,50.0
task1,910.0,coins,50.0
task1,911.0,coins,50.0
task1,912.0,coins,50.0
task1,913.0,coins,50.0
task1,914.0,coins,50.0
task1,915.0,coins,50.0
task1,916.0,coins,50.0
task1,917.0,coins,50.0
task1,918.0,coins,50.0
task1,919.0,coins,50.0
task1,920.0,coins,50.0
task1,921.0,coins,50.0
task1,922.0,coins,50.0
task1,923.0,coins,50.0
task1,924.0,coins,50.0
task1,925.0,coins,50.0
task1,926.0,coins,50.0
task1,927.0,coins,50.0
task1,928.0,coins,50.0
task1,929.0,coins,50.0
task1,930.0,coins,50.0
task1,931.0,coins,50.0
task1,932.0,coins,50.0
task1,933.0,coins,50.0
task1,934.0,coins,50.0
task1,935.0,coins,50.0
task1,936.0,coins,50.0
task1,937.0,coins,50.0
task1,938.0,coins,50.0
task1,939.0,coins,50.0
task1,940.0,coins,50.0
task1,941.0,coins,50.0
task1,942.0,coins,50.0
task1,943.0,coins,50.0
task1,944.0,coins,50.0
task1,945.0,coins,50.0
task1,946.0,coins,50.0
task1,947.0,coins,50.0
task1,948.0,coins,50.0
task1,949.0,coins,50.0
task1,950.0,coins,50.0
task1,951.0,coins,50.0
task1,952.0,coins,50.0
task1,953.0,coins,50.0
task1,954.0,coins,50.0
task1,955.0,coins,50.0
task1,956.0,coins,50.0
task1,957.0,coins,50.0
task1,958.0,coins,50.0
task1,959.0,coins,50.0
task1,960.0,coins,50.0
task1,961.0,coins,50.0
task1,962.0,coins,50.0
task1,963.0,coins,50.0
task1,964.0,coins,50.0
task1,965.0,coins,50.0
task1,966.0,coins,50.0
task1,967.0,coins,50.0
task1,968.0,coins,50.0
task1,969.0,coins,50.0
task1,970.0,coins,50.0
task1,971.0,coins,50.0
task1,972.0,coins,50.0
task1,973.0,coins,50.0
task1,974.0,coins,50.0
task1,975.0,coins,50.0
task1,976.0,coins,50.0
task1,977.0,coins,50.0
task1,978.0,coins,50.0
task1,979.0,coins,50.0
task1,980.0,coins,50.0
task1,981.0,coins,50.0
task1,982.0,coins,50.0
task1,983.0,coins,50.0
task1,984.0,coins,50.0
task1,985.0,coins,50.0
task1,986.0,coins,50.0
task1,987.0,coins,50.0
task1,988.0,coins,50.0
task1,989.0,coins,50.0
task1,990.0,coins,50.0
task1,991.0,coins,50.0
task1,992.0,coins,50.0
task1,993.0,coins,50.0
