round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
1,2,2.0,173.5,173.5,2,0,0,17,0
2,0,1.0,256.4,214.95,0,0,0,25,0
3,0,0.67,-28.8,133.7,0,0,1,18,0
4,0,0.5,175.9,144.25,0,0,0,23,0
5,3,1.0,487.3,212.86,3,0,0,27,1
6,1,1.0,196.3,210.1,1,0,0,27,0
7,1,1.0,108.8,195.63,1,0,0,13,0
8,1,1.0,148.3,189.71,1,0,0,12,0
9,1,1.0,431.7,216.6,1,0,0,24,1
10,0,0.9,49.8,199.92,0,0,0,10,0
11,0,0.82,547.0,231.47,0,0,0,37,1
12,0,0.75,93.4,219.97,0,0,0,13,0
13,1,0.77,409.0,234.51,1,0,0,26,0
14,1,0.79,70.1,222.76,1,0,1,18,0
15,3,0.93,544.8,244.23,3,0,0,26,1
16,7,1.31,585.1,265.54,2,1,0,34,1
17,0,1.24,284.4,266.65,0,0,0,15,1
18,0,1.17,455.3,277.13,0,0,0,40,0
19,0,1.11,136.7,269.74,0,0,0,25,0
20,1,1.1,382.1,275.35,1,0,0,26,0
21,1,1.1,-5.8,261.97,1,0,1,13,0
22,5,1.27,593.7,277.05,0,1,0,22,1
23,6,1.48,329.8,279.34,1,1,1,37,0
24,1,1.46,354.3,282.46,1,0,0,23,0
25,0,1.4,80.4,274.38,0,0,1,22,0
26,5,1.54,589.5,286.5,0,1,0,30,1
27,0,1.48,128.1,280.63,0,0,1,31,0
28,1,1.46,274.8,280.43,1,0,0,30,0
29,5,1.59,195.6,277.5,0,1,1,23,0
30,1,1.57,210.4,275.26,1,0,0,28,0
31,1,1.55,185.1,272.35,1,0,0,23,0
32,0,1.5,125.2,267.76,0,0,0,26,0
33,0,1.45,453.4,273.38,0,0,0,22,1
34,1,1.44,325.5,274.91,1,0,0,30,1
35,0,1.4,53.0,268.57,0,0,1,22,0
36,2,1.42,189.3,266.37,2,0,0,17,0
37,0,1.38,129.0,262.66,0,0,0,20,0
38,3,1.42,159.5,259.94,3,0,0,11,0
39,0,1.38,85.0,255.46,0,0,0,11,0
40,0,1.35,-30.0,248.32,0,0,1,13,0
41,1,1.34,140.7,245.7,1,0,1,27,0
42,0,1.31,193.2,244.45,0,0,0,27,0
43,5,1.4,551.2,251.58,0,1,0,31,1
44,0,1.36,78.5,247.65,0,0,0,16,0
45,7,1.49,414.9,251.36,2,1,1,27,0
46,0,1.46,-2.1,245.85,0,0,1,15,0
47,1,1.45,310.9,247.24,1,0,0,23,0
48,6,1.54,336.4,249.1,1,1,0,18,0
49,1,1.53,109.3,246.24,1,0,0,13,0
50,2,1.54,400.5,249.33,2,0,0,19,1
51,1,1.53,212.6,248.61,1,0,0,23,0
52,2,1.54,510.3,253.64,2,0,0,27,1
53,2,1.55,536.6,258.98,2,0,0,37,1
54,0,1.52,-15.0,253.91,0,0,1,12,0
55,1,1.51,70.4,250.57,1,0,1,21,0
56,4,1.55,269.4,250.91,4,0,0,18,0
57,0,1.53,59.6,247.55,0,0,1,20,0
58,1,1.52,152.1,245.9,1,0,0,17,0
59,3,1.54,318.1,247.13,3,0,0,27,0
60,0,1.52,216.3,246.61,0,0,0,22,0
61,3,1.54,637.3,253.02,3,0,0,33,1
62,1,1.53,147.3,251.31,1,0,0,19,0
63,1,1.52,520.1,255.58,1,0,0,38,1
64,2,1.53,249.5,255.48,2,0,1,28,0
65,0,1.51,107.4,253.21,0,1,1,14,0
66,1,1.5,233.3,252.9,1,0,0,21,0
67,2,1.51,378.8,254.78,2,0,0,36,0
68,0,1.49,199.4,253.97,0,0,0,20,0
69,5,1.54,56.0,251.1,0,1,1,14,0
70,0,1.51,201.2,250.39,0,0,1,28,0
71,1,1.51,-1.7,246.84,1,0,1,13,0
72,0,1.49,74.0,244.44,0,0,0,13,0
73,0,1.47,25.2,241.43,0,0,1,18,0
74,0,1.45,-6.2,238.09,0,0,1,16,0
75,0,1.43,-15.3,234.71,0,0,0,5,0
76,2,1.43,194.2,234.18,2,0,0,23,0
77,1,1.43,188.8,233.59,1,0,0,23,0
78,1,1.42,30.6,230.98,1,0,1,15,0
79,1,1.42,296.1,231.81,1,0,0,25,0
80,0,1.4,179.5,231.15,0,0,0,24,0
81,1,1.4,224.1,231.07,1,0,0,24,0
82,0,1.38,107.5,229.56,0,0,0,16,0
83,1,1.37,395.9,231.56,1,0,0,29,0
84,1,1.37,89.5,229.87,1,0,1,21,0
85,1,1.36,178.7,229.27,1,0,0,18,0
86,0,1.35,93.9,227.7,0,0,0,18,0
87,6,1.4,367.3,229.3,1,1,0,22,1
88,0,1.39,-35.5,226.29,0,0,1,11,0
89,0,1.37,38.1,224.18,0,0,0,14,0
90,2,1.38,236.8,224.32,2,0,0,22,0
91,0,1.36,192.9,223.97,0,0,0,27,0
92,0,1.35,97.1,222.59,0,0,0,15,0
93,0,1.33,281.0,223.22,0,0,1,32,0
94,7,1.39,465.8,225.8,2,1,0,30,0
95,3,1.41,18.8,223.62,3,0,1,6,0
96,0,1.4,93.9,222.27,0,0,0,18,0
97,0,1.38,197.4,222.02,0,0,0,24,0
98,5,1.42,429.2,224.13,0,1,0,27,0
99,4,1.44,412.0,226.03,4,0,0,31,0
100,2,1.45,202.8,225.79,2,0,1,27,0
101,4,1.48,332.6,226.85,4,0,0,26,0
102,0,1.46,115.2,225.76,0,0,1,26,0
103,2,1.47,403.3,227.48,2,0,0,28,0
104,5,1.5,368.1,228.83,0,1,1,33,0
105,1,1.5,60.0,227.23,1,0,1,17,0
106,2,1.5,193.6,226.91,2,0,0,24,0
107,2,1.5,342.8,227.99,2,0,0,29,0
108,2,1.51,279.1,228.46,2,0,0,28,0
109,0,1.5,85.7,227.16,0,0,1,30,0
110,1,1.49,54.7,225.59,1,0,0,5,0
111,0,1.48,371.8,226.9,0,0,0,22,1
112,0,1.46,14.7,225.01,0,0,1,17,0
113,2,1.47,525.1,227.67,2,0,0,45,0
114,0,1.46,372.6,228.94,0,0,0,32,1
115,0,1.44,55.6,227.43,0,0,0,14,0
116,5,1.47,498.1,229.76,0,1,0,29,1
117,4,1.5,370.8,230.97,4,0,0,29,0
118,0,1.48,113.6,229.97,0,0,0,18,0
119,4,1.5,322.8,230.75,4,0,0,23,0
120,10,1.57,518.2,233.15,0,2,0,18,1
121,0,1.56,141.2,232.39,0,0,0,19,0
122,5,1.59,578.7,235.23,0,1,0,40,0
123,0,1.58,206.0,234.99,0,0,1,21,0
124,5,1.6,483.8,237.0,0,1,0,23,1
125,1,1.6,87.3,235.8,1,0,0,12,0
126,1,1.6,103.3,234.75,1,0,1,23,0
127,2,1.6,536.5,237.12,2,0,0,28,1
128,1,1.59,334.6,237.89,1,0,0,32,0
129,0,1.58,169.0,237.35,0,0,0,18,0
130,0,1.57,25.8,235.72,0,0,1,15,0
131,1,1.56,256.5,235.88,1,0,0,20,0
132,1,1.56,501.6,237.9,1,0,0,28,1
133,2,1.56,175.8,237.43,2,0,0,17,0
134,1,1.56,399.4,238.64,1,0,0,27,1
135,2,1.56,422.2,240.0,2,0,0,29,0
136,2,1.57,174.3,239.51,2,0,0,15,0
137,0,1.55,128.0,238.7,0,0,0,16,0
138,1,1.55,280.2,239.0,1,0,0,21,0
139,2,1.55,215.8,238.83,2,0,0,21,0
140,3,1.56,485.4,240.6,3,0,0,24,1
141,6,1.6,233.5,240.54,1,1,0,18,0
142,0,1.58,29.5,239.06,0,0,1,21,0
143,0,1.57,2.1,237.4,0,0,1,15,0
144,0,1.56,328.8,238.04,0,0,0,27,1
145,0,1.55,330.6,238.67,0,0,0,25,0
146,3,1.56,704.3,241.86,3,0,0,38,1
147,6,1.59,312.5,242.34,1,1,0,20,0
148,2,1.59,600.7,244.77,2,0,0,28,1
149,1,1.59,344.3,245.43,1,0,1,42,0
150,0,1.58,119.7,244.6,0,0,1,18,0
151,0,1.57,98.3,243.63,0,0,1,15,0
152,0,1.56,153.9,243.04,0,0,0,19,0
153,1,1.56,295.7,243.38,1,0,0,26,0
154,1,1.55,165.2,242.87,1,0,0,18,0
155,0,1.54,24.1,241.46,0,0,1,15,0
156,0,1.53,329.7,242.03,0,0,0,24,1
157,6,1.56,641.1,244.57,1,1,0,30,1
158,1,1.56,228.3,244.47,1,0,0,21,0
159,1,1.55,483.7,245.97,1,0,0,22,1
160,2,1.56,344.7,246.59,2,0,1,32,0
161,0,1.55,491.1,248.11,0,0,0,28,1
162,1,1.54,289.5,248.36,1,0,1,35,0
163,0,1.53,215.8,248.16,0,0,0,22,0
164,0,1.52,38.6,246.88,0,0,0,11,0
165,1,1.52,497.3,248.4,1,0,0,27,0
166,0,1.51,50.7,247.21,0,0,0,17,0
167,3,1.52,245.7,247.2,3,0,1,26,0
168,0,1.51,353.0,247.83,0,0,0,29,1
169,2,1.51,195.3,247.52,2,0,0,17,0
170,2,1.52,456.1,248.75,2,0,0,25,1
171,6,1.54,337.9,249.27,1,1,0,17,0
172,1,1.54,424.1,250.29,1,0,0,26,1
173,0,1.53,95.0,249.39,0,0,1,18,0
174,0,1.52,166.1,248.91,0,0,0,27,0
175,1,1.52,353.9,249.51,1,0,0,21,1
176,1,1.52,33.0,248.28,1,0,1,18,0
177,0,1.51,160.7,247.78,0,2,1,18,0
178,2,1.51,265.9,247.89,2,0,1,25,0
179,1,1.51,342.7,248.42,1,0,0,27,0
180,1,1.51,234.7,248.34,1,0,0,24,0
181,1,1.5,331.1,248.8,1,0,0,30,0
182,1,1.5,28.6,247.59,1,0,1,17,0
183,2,1.5,652.0,249.8,2,0,0,37,1
184,1,1.5,278.3,249.95,1,0,0,27,0
185,2,1.5,183.2,249.59,2,0,0,14,0
186,1,1.5,112.9,248.86,1,0,1,16,0
187,0,1.49,45.4,247.77,0,0,1,18,0
188,3,1.5,226.4,247.65,3,0,1,25,0
189,1,1.5,131.0,247.04,1,0,0,15,0
190,2,1.5,500.9,248.37,2,0,0,35,1
191,2,1.5,188.3,248.06,2,0,0,18,0
192,3,1.51,221.0,247.92,3,0,0,17,0
193,4,1.52,216.3,247.75,4,0,0,15,0
194,2,1.53,414.4,248.61,2,0,0,32,0
195,1,1.52,190.7,248.32,1,0,0,20,0
196,0,1.52,163.3,247.88,0,0,0,17,0
197,1,1.51,204.5,247.66,1,0,0,19,0
198,0,1.51,381.7,248.34,0,0,0,23,1
199,0,1.5,80.4,247.49,0,0,0,16,0
200,1,1.5,485.1,248.68,1,0,0,30,1
201,6,1.51,464.4,250.14,1,1,1,28,0
202,1,1.52,213.6,249.92,1,0,0,23,0
203,4,1.54,378.0,251.96,4,0,0,25,0
204,0,1.54,-40.2,250.88,0,0,1,12,0
205,0,1.52,174.1,249.31,0,0,1,26,0
206,1,1.52,279.8,249.73,1,0,0,26,0
207,3,1.53,571.4,252.04,3,0,0,32,1
208,0,1.53,22.1,251.41,0,0,1,17,0
209,1,1.53,509.7,251.8,1,0,1,45,0
210,1,1.53,464.0,253.87,1,0,0,26,1
211,1,1.54,455.1,253.41,1,0,0,37,0
212,0,1.54,230.6,254.1,0,0,0,24,0
213,0,1.53,152.5,252.82,0,0,0,22,0
214,2,1.54,293.1,253.93,2,0,0,20,0
215,2,1.53,269.8,252.56,2,0,1,26,0
216,0,1.5,183.6,250.55,0,0,1,21,0
217,2,1.51,185.3,250.05,2,0,0,20,0
218,1,1.51,534.0,250.45,1,0,0,27,1
219,2,1.52,49.3,250.01,2,0,1,14,0
220,5,1.54,484.1,250.52,0,1,0,30,1
221,0,1.54,20.5,250.65,0,0,1,17,0
222,1,1.52,468.0,250.02,1,0,0,34,1
223,1,1.5,654.5,251.65,1,0,0,28,1
224,0,1.49,339.6,251.57,0,0,0,23,1
225,6,1.52,581.3,254.08,1,1,0,24,1
226,2,1.5,156.8,251.91,2,0,1,23,0
227,0,1.5,409.8,253.32,0,0,0,30,1
228,0,1.5,151.1,252.7,0,0,0,17,0
229,2,1.49,276.6,253.11,2,0,1,31,0
230,0,1.48,243.2,253.27,0,0,1,33,0
231,1,1.48,250.2,253.6,1,0,0,29,0
232,1,1.49,396.8,254.96,1,0,0,31,0
233,6,1.51,615.9,255.77,1,1,0,24,1
234,1,1.51,84.1,254.56,1,0,0,11,0
235,0,1.51,179.5,255.19,0,0,0,27,0
236,1,1.51,207.7,255.29,1,0,0,25,0
237,0,1.51,103.1,255.16,0,0,1,23,0
238,2,1.5,599.1,257.35,2,0,0,28,1
239,0,1.5,12.8,256.99,0,1,1,9,0
240,6,1.53,501.8,259.65,1,1,0,28,0
241,0,1.53,246.9,260.18,0,0,1,29,0
242,0,1.53,198.6,260.21,0,0,0,23,0
243,0,1.5,475.2,259.83,0,0,0,43,1
244,6,1.53,539.4,262.13,1,1,0,26,1
245,4,1.52,238.0,261.25,4,0,1,23,0
246,0,1.52,285.7,262.69,0,0,1,26,0
247,1,1.52,306.9,262.67,1,0,0,21,0
248,0,1.49,118.7,261.58,0,0,0,18,0
249,1,1.49,31.1,261.19,1,0,1,11,0
250,5,1.5,617.0,262.27,0,1,0,25,1
251,2,1.51,54.3,261.48,2,0,1,13,0
252,0,1.5,288.8,260.37,0,0,0,20,1
253,1,1.5,598.5,260.68,1,0,0,34,1
254,0,1.5,259.4,262.05,0,0,0,22,0
255,2,1.5,189.4,262.65,2,0,0,15,0
256,0,1.48,457.7,263.59,0,0,0,36,1
257,1,1.49,397.2,265.28,1,0,0,15,1
258,2,1.49,313.8,266.09,2,0,0,27,0
259,0,1.48,105.1,265.02,0,0,1,24,0
260,1,1.48,377.4,265.83,1,0,0,19,0
261,2,1.48,605.5,265.67,2,0,0,29,1
262,1,1.48,277.5,266.32,1,0,1,27,0
263,1,1.48,54.9,263.99,1,0,1,16,0
264,7,1.5,468.2,265.09,2,1,0,22,1
265,0,1.5,244.2,265.77,0,0,0,23,0
266,0,1.5,173.5,265.47,0,0,0,26,0
267,8,1.52,576.7,266.46,3,1,0,27,0
268,1,1.53,475.6,267.84,1,0,0,28,1
269,11,1.56,614.9,270.64,1,2,0,20,1
270,0,1.56,121.1,270.24,0,0,1,29,0
271,2,1.56,341.9,271.95,2,0,1,33,0
272,0,1.56,73.7,271.95,0,0,1,25,0
273,1,1.57,497.6,274.32,1,0,0,28,1
274,1,1.57,162.0,275.16,1,0,0,15,0
275,5,1.6,520.6,277.84,0,1,0,29,1
276,3,1.6,383.1,278.78,3,0,0,25,0
277,7,1.64,126.9,278.47,2,1,1,16,0
278,2,1.64,311.7,279.88,2,0,0,22,0
279,1,1.64,103.7,278.91,1,0,1,24,0
280,1,1.65,266.5,279.35,1,0,0,22,0
281,1,1.65,314.4,279.8,1,0,0,29,0
282,0,1.65,38.7,279.46,0,0,1,16,0
283,0,1.64,335.3,279.15,0,0,1,28,0
284,0,1.64,233.8,279.88,0,0,1,30,0
285,0,1.63,79.7,279.38,0,0,0,19,0
286,2,1.64,120.0,279.51,2,0,1,22,0
287,5,1.64,347.6,279.41,0,1,0,22,0
288,3,1.65,422.4,281.7,3,0,0,29,0
289,1,1.66,173.5,282.38,1,0,1,25,0
290,7,1.68,795.1,285.17,2,1,0,40,1
291,6,1.71,425.7,286.33,1,1,0,24,1
292,0,1.71,71.4,286.21,0,0,0,11,0
293,1,1.72,468.7,287.14,1,0,0,36,1
294,1,1.69,64.9,285.14,1,0,1,19,0
295,0,1.67,237.0,286.23,0,0,1,30,0
296,0,1.67,287.2,287.2,0,0,1,41,0
297,10,1.72,530.7,288.86,5,1,0,30,0
298,0,1.7,459.2,289.01,0,0,0,34,0
299,0,1.68,58.0,287.24,0,0,1,17,0
300,0,1.67,380.7,288.13,0,0,0,31,0
301,7,1.68,675.2,289.85,2,1,0,39,0
302,5,1.71,599.1,292.27,0,1,0,27,1
303,1,1.7,261.5,291.56,1,0,0,21,0
304,2,1.69,650.3,292.97,2,0,0,37,1
305,1,1.69,48.8,292.91,1,0,0,6,0
306,0,1.68,142.0,292.65,0,0,1,27,0
307,2,1.68,538.8,293.63,2,0,0,32,1
308,2,1.68,460.7,294.54,2,0,0,26,1
309,0,1.68,542.1,296.82,0,0,0,36,1
310,0,1.67,70.1,296.9,0,0,0,15,0
311,6,1.7,532.7,297.71,1,1,0,30,0
312,0,1.7,38.0,297.82,0,0,0,9,0
313,1,1.7,235.4,296.37,1,0,1,32,0
314,1,1.7,432.6,296.67,1,0,0,31,1
315,0,1.7,2.0,296.41,0,0,1,14,0
316,1,1.68,418.5,296.01,1,0,0,31,0
317,1,1.67,164.1,294.97,1,0,0,16,0
318,0,1.67,341.5,296.11,0,0,0,34,0
319,1,1.65,328.9,296.14,1,0,0,27,0
320,1,1.6,460.0,295.85,1,0,0,36,0
321,2,1.61,240.6,296.35,2,0,1,25,0
322,0,1.59,342.3,295.17,0,0,0,25,1
323,1,1.59,119.2,294.73,1,0,1,21,0
324,0,1.57,40.8,292.52,0,0,1,18,0
325,2,1.57,510.9,294.64,2,0,0,25,1
326,0,1.57,240.6,295.32,0,0,0,26,0
327,0,1.56,150.2,293.39,0,0,0,16,0
328,1,1.56,170.2,292.57,1,0,0,17,0
329,5,1.58,744.4,295.45,5,0,0,34,1
330,1,1.59,169.0,296.16,1,1,1,32,0
331,1,1.59,527.2,297.52,1,0,0,32,1
332,1,1.59,164.2,295.83,1,0,0,19,0
333,1,1.58,260.3,296.25,1,0,0,28,0
334,0,1.58,449.8,296.5,0,0,0,23,1
335,2,1.58,540.2,297.09,2,0,0,49,0
336,2,1.58,532.7,298.89,2,0,0,27,1
337,6,1.61,531.3,300.9,1,1,0,30,1
338,1,1.61,272.6,300.86,1,0,1,36,0
339,6,1.63,407.2,301.82,1,1,0,20,1
340,0,1.61,159.3,300.19,0,0,1,17,0
341,1,1.59,211.6,300.08,1,0,1,30,0
342,5,1.61,280.3,301.34,0,1,0,18,0
343,0,1.61,9.4,301.37,0,0,1,15,0
344,0,1.61,170.5,300.58,0,0,0,18,0
345,1,1.62,59.7,299.23,1,0,1,17,0
346,1,1.61,562.2,298.52,1,0,0,31,1
347,1,1.58,528.4,299.59,1,0,0,28,1
348,1,1.58,351.7,298.35,1,0,1,28,0
349,2,1.58,70.4,296.98,2,0,1,17,0
350,1,1.59,391.8,298.34,1,0,0,28,1
351,1,1.59,169.1,298.69,1,0,0,19,0
352,0,1.59,60.5,298.23,0,0,0,12,0
353,9,1.64,663.4,300.07,4,1,0,39,1
354,2,1.64,435.1,301.42,2,0,0,30,1
355,0,1.64,25.3,301.42,0,0,0,8,0
356,8,1.68,574.6,302.65,3,1,0,27,1
357,0,1.65,369.0,301.29,0,0,0,27,1
358,0,1.65,431.9,302.3,0,0,0,33,1
359,1,1.65,275.9,301.26,1,0,0,28,0
360,2,1.65,478.1,301.93,2,0,0,32,0
361,1,1.65,313.9,301.05,1,0,1,37,0
362,1,1.65,446.4,301.83,1,0,0,30,0
363,1,1.66,306.1,302.28,1,0,0,22,0
364,0,1.66,-24.2,301.97,0,0,1,16,0
365,1,1.66,587.6,302.42,3,0,0,40,1
366,1,1.66,148.5,302.91,1,0,1,22,0
367,2,1.66,679.0,305.07,2,0,0,41,1
368,1,1.66,382.0,305.22,1,0,0,26,1
369,0,1.65,23.7,304.36,0,0,0,11,0
370,1,1.65,317.2,303.67,1,0,0,18,1
371,2,1.62,544.0,304.7,2,0,0,29,1
372,1,1.62,300.5,304.08,1,0,0,24,0
373,4,1.65,224.5,304.73,4,0,1,23,0
374,1,1.65,36.4,304.08,1,0,1,19,0
375,2,1.66,181.3,303.22,2,0,1,31,0
376,2,1.66,365.9,304.88,2,0,1,28,0
377,0,1.66,152.9,304.84,0,0,1,26,0
378,1,1.66,233.2,304.68,1,0,0,27,0
379,1,1.66,98.7,303.46,1,0,0,15,0
380,6,1.68,515.8,304.86,1,1,0,24,0
381,2,1.69,220.1,304.31,2,0,0,24,0
382,1,1.69,200.6,305.17,1,0,1,32,0
383,0,1.68,35.9,302.09,0,0,0,12,0
384,0,1.67,244.3,301.92,0,0,0,24,0
385,3,1.68,312.0,302.56,3,0,1,28,0
386,3,1.69,303.8,303.52,3,0,0,23,0
387,2,1.7,191.4,304.25,2,0,1,29,0
388,0,1.68,102.4,303.63,0,0,1,21,0
389,0,1.68,44.6,303.19,0,0,1,16,0
390,0,1.67,226.2,301.82,0,0,0,28,0
391,1,1.66,459.5,303.18,1,0,0,34,1
392,2,1.66,418.9,304.17,2,0,0,29,0
393,1,1.64,251.8,304.34,1,0,1,21,0
394,2,1.64,379.1,304.17,2,0,0,27,0
395,1,1.64,643.4,306.43,1,0,0,35,1
396,3,1.66,571.5,308.47,3,0,0,25,0
397,0,1.65,166.6,308.28,0,0,0,18,0
398,0,1.65,105.5,306.9,0,0,0,15,0
399,0,1.65,108.0,307.04,0,0,0,11,0
400,1,1.65,473.6,306.98,1,0,1,30,0
401,2,1.63,390.5,306.61,2,0,0,33,0
402,0,1.62,64.8,305.87,0,0,0,13,0
403,5,1.63,326.1,305.61,5,0,0,20,0
404,6,1.66,528.8,308.45,1,1,0,28,1
405,1,1.67,132.1,308.24,1,0,1,28,0
406,1,1.67,58.8,307.14,1,0,1,15,0
407,1,1.66,247.9,305.52,1,0,0,28,0
408,1,1.66,635.1,308.59,1,0,0,42,1
409,0,1.66,86.6,306.47,0,0,0,15,0
410,1,1.66,351.3,305.91,1,0,0,36,0
411,1,1.66,527.3,306.27,1,0,0,21,1
412,0,1.66,117.9,305.7,0,0,1,17,0
413,1,1.66,33.8,305.11,1,0,1,12,0
414,0,1.65,281.3,305.05,0,0,0,32,0
415,2,1.65,391.7,305.66,2,0,0,32,0
416,1,1.66,333.3,306.41,1,0,1,28,0
417,3,1.66,263.8,306.8,3,0,0,22,0
418,1,1.66,198.3,305.12,1,0,0,23,0
419,0,1.65,96.0,305.36,0,0,0,14,0
420,0,1.62,67.6,303.28,0,0,1,18,0
421,1,1.63,578.5,306.07,1,0,0,28,1
422,6,1.66,481.6,306.13,1,1,0,26,0
423,2,1.66,289.0,304.31,2,0,1,29,0
424,1,1.67,243.8,303.83,1,0,0,23,0
425,1,1.64,311.4,302.48,1,0,1,35,0
426,1,1.64,184.9,302.62,1,0,0,22,0
427,0,1.64,125.5,301.2,0,0,0,20,0
428,0,1.64,-52.1,300.18,0,0,1,10,0
429,2,1.64,253.2,300.06,2,0,0,24,0
430,7,1.67,552.0,301.61,2,1,0,29,0
431,1,1.67,123.3,300.97,1,0,1,26,0
432,2,1.68,222.1,300.1,2,0,1,24,0
433,8,1.69,693.7,300.49,3,1,0,38,1
434,1,1.69,113.3,300.63,1,0,1,26,0
435,2,1.7,143.0,300.45,2,0,1,23,0
436,2,1.7,355.0,301.19,2,0,1,30,0
437,1,1.71,206.1,301.7,1,0,0,22,0
438,5,1.72,335.6,300.39,0,1,0,20,0
439,1,1.73,204.2,301.34,1,0,1,18,0
440,1,1.7,154.8,299.61,1,0,1,27,0
441,2,1.71,190.8,299.33,2,0,0,20,0
442,2,1.72,558.6,301.13,2,0,0,42,1
443,6,1.75,573.3,301.62,1,1,1,34,0
444,0,1.72,70.1,299.27,0,0,0,14,0
445,1,1.71,294.2,299.55,1,0,1,36,0
446,2,1.72,118.5,298.72,2,0,0,12,0
447,1,1.72,292.3,298.64,1,0,1,26,0
448,6,1.75,642.2,301.26,1,1,0,36,1
449,7,1.77,593.9,304.07,2,1,0,37,1
450,1,1.75,456.1,303.27,1,0,0,42,1
451,2,1.75,259.8,304.3,2,0,1,30,0
452,3,1.77,675.7,306.23,3,0,0,24,1
453,8,1.8,684.0,306.66,3,1,0,45,1
454,0,1.8,29.0,305.51,0,0,0,10,0
455,2,1.8,279.4,305.96,2,0,0,18,0
456,4,1.82,674.3,307.04,4,0,0,26,1
457,0,1.82,191.5,306.01,0,0,0,28,0
458,1,1.81,9.3,304.49,1,0,1,14,0
459,5,1.84,328.8,305.61,0,1,0,27,0
460,6,1.86,213.4,304.79,1,1,1,28,0
461,8,1.9,569.9,304.61,3,1,0,20,0
462,1,1.9,166.1,304.05,1,0,0,19,0
463,2,1.9,526.6,306.41,2,0,0,34,1
464,0,1.86,52.1,304.33,0,0,0,13,0
465,4,1.89,774.4,306.98,4,0,0,45,1
466,6,1.92,236.9,307.3,1,1,0,19,0
467,0,1.88,181.3,305.32,0,0,0,21,0
468,1,1.88,202.8,303.96,1,0,0,22,0
469,1,1.82,151.0,301.64,1,0,1,22,0
470,0,1.82,-6.1,301.0,0,0,1,15,0
471,7,1.85,611.7,302.35,2,1,0,32,1
472,1,1.85,211.2,303.04,1,0,1,27,0
473,0,1.85,89.7,301.0,0,0,1,22,0
474,1,1.85,283.0,301.61,1,0,0,24,0
475,0,1.82,62.3,299.31,0,0,1,18,0
476,0,1.81,583.0,300.31,0,0,0,32,1
477,0,1.77,67.3,300.01,0,0,1,19,0
478,0,1.76,-29.4,298.31,0,0,1,16,0
479,1,1.76,136.3,298.47,1,0,0,14,0
480,7,1.79,598.9,300.13,2,1,0,31,1
481,2,1.8,431.8,300.72,2,0,0,20,1
482,1,1.8,552.1,303.29,1,0,0,36,0
483,4,1.82,621.8,304.72,4,0,0,45,1
484,2,1.83,312.7,305.12,2,0,0,31,0
485,1,1.84,160.5,305.52,1,0,0,17,0
486,0,1.83,94.9,305.39,0,0,1,20,0
487,1,1.81,450.9,305.91,1,0,0,31,0
488,1,1.8,263.4,305.12,1,0,0,16,0
489,6,1.82,689.3,307.69,1,1,0,33,1
490,2,1.8,467.7,306.06,2,0,0,30,1
491,2,1.78,176.9,304.81,2,0,1,23,0
492,1,1.78,527.1,307.09,1,0,0,30,1
493,0,1.78,78.0,305.14,0,0,0,13,0
494,0,1.77,77.9,305.2,0,0,1,23,0
495,5,1.8,273.2,305.38,0,1,0,27,0
496,1,1.8,142.1,304.66,1,0,0,18,0
497,2,1.76,250.5,303.26,2,0,0,23,0
498,2,1.77,195.4,301.94,2,0,0,23,0
499,3,1.79,737.2,305.33,3,0,0,43,1
500,2,1.8,207.9,304.47,2,0,1,30,0
501,0,1.76,270.3,302.45,0,0,0,30,0
502,2,1.75,256.8,300.74,2,0,0,26,0
503,0,1.75,91.8,299.89,0,0,1,24,0
504,1,1.74,476.8,299.02,1,0,0,35,0
505,7,1.77,287.7,300.21,2,1,1,32,0
506,2,1.78,480.1,301.9,2,0,0,33,0
507,2,1.78,640.8,302.41,2,0,0,33,1
508,0,1.77,124.7,300.73,0,0,0,16,0
509,0,1.77,507.1,300.56,0,0,0,33,1
510,1,1.77,129.3,300.86,1,0,0,18,0
511,1,1.75,-66.3,297.86,1,0,1,6,0
512,1,1.75,174.2,298.54,1,0,0,16,0
513,5,1.77,474.5,299.74,0,1,1,37,0
514,1,1.77,300.5,299.08,1,0,1,21,0
515,4,1.79,578.7,301.96,4,0,0,37,0
516,0,1.79,3.1,299.88,0,0,1,15,0
517,1,1.79,199.6,300.06,1,0,0,26,0
518,4,1.81,635.4,301.53,4,0,0,33,1
519,7,1.84,557.2,302.67,2,1,0,28,0
520,1,1.84,278.8,301.76,1,0,1,31,0
521,3,1.84,369.9,302.41,3,0,0,34,0
522,3,1.86,655.7,303.98,3,0,0,31,1
523,6,1.89,539.1,306.08,1,1,0,26,1
524,3,1.9,516.4,308.46,3,0,0,25,1
525,1,1.9,190.5,306.85,1,0,1,26,0
526,0,1.9,286.0,307.08,0,0,1,33,0
527,2,1.91,132.1,306.99,2,0,1,28,0
528,0,1.9,446.5,308.37,0,0,0,25,1
529,1,1.88,619.4,307.75,1,0,0,38,1
530,0,1.88,-45.0,306.68,0,0,1,9,0
531,0,1.87,48.3,304.28,0,0,1,28,0
532,0,1.86,50.6,303.71,0,0,1,19,0
533,1,1.86,224.1,303.53,1,0,0,25,0
534,0,1.86,-25.2,301.16,0,0,1,13,0
535,2,1.86,70.3,298.81,2,0,1,17,0
536,0,1.85,84.4,296.57,0,0,0,16,0
