round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
390,5,1.75,307.1,286.21,0,1,0,24,0
391,1,1.75,344.5,286.39,1,0,0,30,0
392,1,1.75,366.2,287.35,1,0,0,29,0
393,1,1.75,173.5,287.66,1,0,0,18,0
394,1,1.75,91.6,286.23,1,0,1,19,0
395,4,1.76,723.1,288.52,4,0,0,48,1
396,7,1.78,301.5,287.98,2,1,0,23,0
397,1,1.78,37.3,287.8,1,0,1,19,0
398,3,1.78,545.8,289.94,3,0,0,42,1
399,5,1.8,518.8,291.78,0,1,0,32,0
400,0,1.79,-6.3,290.44,0,0,1,13,0
401,1,1.78,210.7,291.29,1,0,0,16,0
402,0,1.78,414.2,292.65,0,0,1,34,0
403,2,1.79,279.9,291.86,2,0,0,21,0
404,2,1.79,335.6,291.09,2,0,0,33,0
405,0,1.76,499.5,290.19,0,0,0,31,0
406,1,1.75,29.4,289.71,1,0,1,13,0
407,0,1.74,91.2,288.94,0,0,0,20,0
408,3,1.73,713.4,291.08,3,0,0,36,1
409,7,1.76,555.6,293.76,2,1,0,37,0
410,0,1.75,124.3,293.52,0,0,0,18,0
411,2,1.75,478.8,294.87,2,0,0,29,1
412,1,1.75,108.5,294.94,1,0,1,18,0
413,2,1.73,331.2,293.77,2,0,0,32,0
414,2,1.74,316.1,294.79,2,0,0,28,0
415,1,1.73,508.9,295.78,1,0,0,37,0
416,1,1.73,97.0,295.03,1,0,0,13,0
417,0,1.73,114.5,295.74,0,0,0,22,0
418,2,1.74,543.3,296.88,2,0,0,32,1
419,0,1.74,166.7,297.25,0,0,0,20,0
420,3,1.75,521.0,299.31,3,0,0,22,1
421,3,1.76,239.6,299.19,3,0,0,20,0
422,2,1.76,117.9,298.85,2,0,1,21,0
423,0,1.75,116.4,297.99,0,0,0,16,0
424,6,1.77,208.2,298.15,1,1,0,18,0
425,11,1.8,716.0,298.93,1,2,0,32,1
426,1,1.8,152.9,299.3,1,0,0,21,0
427,1,1.79,245.7,299.92,1,0,0,22,0
428,1,1.78,247.7,299.37,1,0,0,26,0
429,1,1.76,255.8,297.79,1,0,0,29,0
430,7,1.78,590.0,299.37,2,1,0,18,1
431,1,1.78,205.4,299.43,1,0,0,20,0
432,5,1.81,430.0,301.38,0,1,0,24,1
433,1,1.81,140.5,301.24,1,0,1,21,0
434,0,1.8,126.7,301.33,0,0,0,16,0
435,6,1.83,431.8,302.37,1,1,1,30,0
436,1,1.8,595.5,302.47,1,0,0,31,1
437,1,1.8,214.3,302.25,1,0,1,35,0
438,1,1.8,448.4,302.81,1,0,0,33,0
439,1,1.8,65.4,301.61,1,0,0,8,0
440,1,1.81,528.9,304.28,1,0,0,34,1
441,1,1.81,271.2,304.52,1,0,1,22,0
442,2,1.82,160.2,304.93,2,0,0,16,0
443,1,1.82,290.0,305.06,1,0,1,27,0
444,1,1.82,159.5,304.69,1,0,0,21,0
445,1,1.82,317.8,305.31,1,0,0,29,0
446,5,1.83,508.2,305.47,0,1,0,36,0
447,2,1.83,381.5,306.1,2,0,0,34,0
448,2,1.83,304.5,306.54,2,0,0,23,0
449,1,1.78,340.3,305.83,1,0,0,32,0
450,3,1.79,231.0,305.15,3,0,0,19,0
